# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)
1e-12	0.9411118	0.33787212	0.0063238996	0.33828935	0.12312725	0
1.595482565747936e-11	0.9411037	0.33789432	0.006338525	0.33828935	0.12312725	4.074171e-06
3.086022798964382e-11	0.94111544	0.33786145	0.006348631	0.33828935	0.12312725	-1.1953602e-05
4.512634475903352e-11	0.94112855	0.3378255	0.006316302	0.33828935	0.12312725	-4.393925e-06
5.986406172996918e-11	0.94111586	0.3378615	0.006280648	0.33828935	0.12312725	1.182146e-05
7.468724013134296e-11	0.94109464	0.3379201	0.006305399	0.33828935	0.12312725	4.2224447e-06
8.97107702024877e-11	0.94110155	0.33789995	0.0063535217	0.33828935	0.12312725	-1.2059751e-05
1.039542615278371e-10	0.9411206	0.33784682	0.006353299	0.33828935	0.12312725	-4.4233566e-06
1.190491499548424e-10	0.94111973	0.33784962	0.006319289	0.33828935	0.12312725	1.20772875e-05
1.3346676951068647e-10	0.9411079	0.3378832	0.006314875	0.33828935	0.12312725	4.3125065e-06
1.4827294028370968e-10	0.94111174	0.33787242	0.0063266186	0.33828935	0.12312725	-1.204362e-05
1.6297657488417497e-10	0.94112074	0.3378474	0.006311231	0.33828935	0.12312725	-4.203744e-06
1.7759432376867301e-10	0.9411097	0.33787856	0.006297642	0.33828935	0.12312725	1.2050716e-05
1.9264015333051467e-10	0.94109493	0.33791867	0.006331071	0.33828935	0.12312725	3.8934627e-06
2.071240525058268e-10	0.9411075	0.33788309	0.0063656666	0.33828935	0.12312725	-1.2153345e-05
2.2205729581143112e-10	0.94112855	0.337825	0.006341153	0.33828935	0.12312725	-3.902171e-06
2.3645128721901227e-10	0.94112253	0.33784258	0.006296	0.33828935	0.12312725	1.2163999e-05
2.513036097448689e-10	0.94110256	0.33789834	0.006297519	0.33828935	0.12312725	4.135151e-06
2.661230538840144e-10	0.9411042	0.3378932	0.006330166	0.33828935	0.12312725	-1.2329636e-05
2.8042365885021406e-10	0.94111633	0.33785915	0.006332683	0.33828935	0.12312725	-4.533181e-06
2.951953510477554e-10	0.94111264	0.33786967	0.006319138	0.33828935	0.12312725	1.2225933e-05
3.0994607373521746e-10	0.94110227	0.33789805	0.006333161	0.33828935	0.12312725	4.4070857e-06
