# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)
1e-12	0.99995244	-0.0034098036	0.0013015723	0.36	0	0
1.6224300381005456e-11	0.99995244	-0.0033870144	0.0013164125	0.36	0	3.7317038e-06
3.0524795407859163e-11	0.9999522	-0.0034213795	0.0013258982	0.36	0	-1.1808258e-05
4.5408468728581875e-11	0.99995214	-0.0034590967	0.001290886	0.36	0	-4.0370523e-06
6.014147735780853e-11	0.99995244	-0.0034150046	0.0012577688	0.36	0	1.1945966e-05
7.49618633611075e-11	0.99995244	-0.003354167	0.0012871871	0.36	0	3.8717826e-06
8.94440128258024e-11	0.9999523	-0.0033796355	0.0013359286	0.36	0	-1.1945477e-05
1.042094742751777e-10	0.99995214	-0.0034441247	0.0013312906	0.36	0	-4.0980663e-06
1.187737887204237e-10	0.9999522	-0.0034403435	0.0012931988	0.36	0	1.1955921e-05
1.3369947914001565e-10	0.99995244	-0.0033964538	0.001286837	0.36	0	4.0137015e-06
1.4849232944299248e-10	0.9999522	-0.0034046024	0.001301082	0.36	0	-1.2138911e-05
1.6318290413814433e-10	0.9999522	-0.0034292277	0.001291085	0.36	0	-3.9369174e-06
1.777837469477241e-10	0.99995244	-0.0033986152	0.0012827069	0.36	0	1.2136082e-05
1.9231570672707537e-10	0.99995244	-0.003365228	0.0013138271	0.36	0	4.3145105e-06
2.072848195619399e-10	0.9999522	-0.0034100735	0.0013432916	0.36	0	-1.222378e-05
2.2170678905142763e-10	0.999952	-0.0034662916	0.0013118337	0.36	0	-4.358747e-06
2.365791893192615e-10	0.9999523	-0.0034355104	0.0012625718	0.36	0	1.2222062e-05
2.514153927096544e-10	0.99995244	-0.003368351	0.0012734577	0.36	0	3.988595e-06
2.657253680658582e-10	0.9999523	-0.0033763302	0.0013155387	0.36	0	-1.2148221e-05
2.8050362044111413e-10	0.9999522	-0.0034269192	0.0013224992	0.36	0	-4.4291273e-06
2.9525655396903577e-10	0.9999522	-0.0034230982	0.0013015654	0.36	0	1.225491e-05
3.0999011018138303e-10	0.99995244	-0.0033930775	0.0013052665	0.36	0	4.3493387e-06
3.2470596481037947e-10	0.9999522	-0.003416928	0.0013150005	0.36	0	-1.2322853e-05
3.3940846332629175e-10	0.999952	-0.0034488658	0.001288717	0.36	0	-4.3585455e-06
3.5409685418254574e-10	0.9999523	-0.0034078164	0.0012645461	0.36	0	1.236385e-05
3.68774576471875e-10	0.9999526	-0.0033544083	0.0012967236	0.36	0	4.436921e-06
3.8344246823893083e-10	0.9999523	-0.003387997	0.0013419263	0.36	0	-1.2383447e-05
3.9810352008799797e-10	0.99995214	-0.0034546272	0.0013279752	0.36	0	-4.565032e-06
4.1324467766984077e-10	0.9999522	-0.0034419056	0.0012796859	0.36	0	1.2613043e-05
4.2789141514964396e-10	0.99995244	-0.0033861876	0.001277421	0.36	0	4.0809505e-06
4.4253249078543467e-10	0.9999522	-0.0033910996	0.0013042764	0.36	0	-1.2611269e-05
4.5717002821054965e-10	0.9999522	-0.0034257055	0.0013038685	0.36	0	-4.277665e-06
4.71803057672887e-10	0.9999523	-0.003406942	0.0012925556	0.36	0	1.2599174e-05
4.86432592452216e-10	0.99995244	-0.0033764455	0.001313334	0.36	0	4.496733e-06
5.010586318573624e-10	0.9999522	-0.0034137396	0.0013329777	0.36	0	-1.2576701e-05
5.161706095728389e-10	0.999952	-0.0034629777	0.0013003445	0.36	0	-4.0726704e-06
5.307924870982152e-10	0.9999522	-0.0034245304	0.0012603182	0.36	0	1.2782336e-05
5.454121256167281e-10	0.99995244	-0.0033604072	0.0012805717	0.36	0	4.3227437e-06
5.600297659402835e-10	0.99995244	-0.0033788274	0.0013271146	0.36	0	-1.2755507e-05
5.74646951961384e-10	0.9999522	-0.0034375289	0.0013268064	0.36	0	-4.582596e-06
5.892621289450792e-10	0.9999522	-0.0034323707	0.001296046	0.36	0	1.2721518e-05
6.043635623329204e-10	0.99995244	-0.0033920242	0.0012940156	0.36	0	4.1833923e-06
6.189764899661769e-10	0.9999522	-0.0034079645	0.0013087116	0.36	0	-1.29229165e-05
6.335892954580527e-10	0.99995214	-0.0034392343	0.0012923239	0.36	0	-4.4585563e-06
6.482008585913995e-10	0.9999522	-0.003405173	0.0012751094	0.36	0	1.2888668e-05
6.628120983950321e-10	0.9999525	-0.0033608663	0.0013051619	0.36	0	4.7383346e-06
6.779091895695577e-10	0.99995244	-0.0033998867	0.0013406795	0.36	0	-1.3084655e-05
6.925194612642403e-10	0.999952	-0.0034604366	0.001317169	0.36	0	-4.3486366e-06
7.071289578322916e-10	0.9999522	-0.0034367568	0.0012722273	0.36	0	1.3051641e-05
7.217383305807623e-10	0.99995244	-0.0033763961	0.0012777817	0.36	0	4.6369014e-06
7.36346773835184e-10	0.99995244	-0.0033856991	0.0013123349	0.36	0	-1.3011829e-05
7.514425674455677e-10	0.9999522	-0.0034306461	0.0013121347	0.36	0	-4.246198e-06
7.660508603580813e-10	0.9999522	-0.0034154498	0.0012939032	0.36	0	1.3212912e-05
7.806591161842971e-10	0.99995244	-0.0033816986	0.0013077328	0.36	0	4.5407974e-06
7.952666427845979e-10	0.9999523	-0.0034131305	0.001325005	0.36	0	-1.3175303e-05
8.098746041848663e-10	0.999952	-0.0034560463	0.0012968222	0.36	0	-4.837481e-06
8.24969141311851e-10	0.9999522	-0.003416717	0.001264712	0.36	0	1.3373893e-05
8.39576715991107e-10	0.9999525	-0.003358939	0.0012901239	0.36	0	4.4470394e-06
8.541837255834393e-10	0.99995244	-0.0033865005	0.0013332978	0.36	0	-1.33389e-05
8.687911309047962e-10	0.9999522	-0.003447669	0.0013231998	0.36	0	-4.7484596e-06
8.833984615140947e-10	0.9999522	-0.003434235	0.0012859892	0.36	0	1.3297736e-05
8.984923783234314e-10	0.9999523	-0.003385408	0.0012896282	0.36	0	4.353949e-06
9.130990823887453e-10	0.9999522	-0.0034015242	0.001311282	0.36	0	-1.3503251e-05
9.27706169429019e-10	0.9999522	-0.0034386786	0.0012982341	0.36	0	-4.6595096e-06
9.423132371903685e-10	0.9999523	-0.003408739	0.0012791579	0.36	0	1.34649335e-05
9.569197701046913e-10	0.99995244	-0.0033649849	0.0013054815	0.36	0	4.965984e-06
9.720133512743835e-10	0.9999523	-0.0034044413	0.0013372492	0.36	0	-1.3668746e-05
9.866202209365502e-10	0.99995214	-0.0034611414	0.0013106384	0.36	0	-4.5699376e-06
1.0012271065117128e-09	0.99995214	-0.00343104	0.0012681808	0.36	0	1.3633417e-05
1.0158334631146581e-09	0.9999523	-0.0033688247	0.0012811979	0.36	0	4.8803004e-06
1.030440125727802e-09	0.99995244	-0.003385	0.001320497	0.36	0	-1.3591247e-05
1.0455336199050273e-09	0.9999522	-0.0034377135	0.0013145901	0.36	0	-4.479259e-06
1.0601403758967731e-09	0.9999522	-0.003420373	0.0012896187	0.36	0	1.380341e-05
1.0747466267144813e-09	0.9999523	-0.0033796527	0.0013023058	0.36	0	4.7933654e-06
1.0893532238918383e-09	0.9999522	-0.0034084257	0.0013237195	0.36	0	-1.3764343e-05
1.1039597929123103e-09	0.999952	-0.00345393	0.0012991525	0.36	0	-5.107941e-06
1.1190533014798962e-09	0.9999522	-0.003414793	0.0012663178	0.36	0	1.39751e-05
1.1336594790030492e-09	0.99995244	-0.0033578025	0.0012934547	0.36	0	4.704839e-06
1.148265997069638e-09	0.99995244	-0.0033891741	0.001336115	0.36	0	-1.3939215e-05
1.1628724744237944e-09	0.9999522	-0.003452801	0.0013218103	0.36	0	-5.023189e-06
1.1774788374670428e-09	0.9999522	-0.0034354334	0.0012808557	0.36	0	1.3896746e-05
1.192571994582347e-09	0.9999522	-0.0033789582	0.0012870856	0.36	0	4.614732e-06
1.207178449276015e-09	0.9999522	-0.0033968035	0.0013151022	0.36	0	-1.4115923e-05
1.221784859831423e-09	0.9999522	-0.0034406024	0.001303255	0.36	0	-4.9368296e-06
1.2363911748228196e-09	0.99995244	-0.0034131706	0.0012801107	0.36	0	1.4076664e-05
1.2514843135867292e-09	0.99995244	-0.0033659386	0.0013056082	0.36	0	4.5228026e-06
1.2660907468554784e-09	0.9999522	-0.0034044145	0.0013363594	0.36	0	-1.4294613e-05
1.280697122814701e-09	0.99995214	-0.0034621703	0.0013094186	0.36	0	-4.848569e-06
1.2953034005529042e-09	0.9999522	-0.003430299	0.0012663932	0.36	0	1.4258665e-05
1.3099098222750719e-09	0.99995244	-0.003365428	0.0012812474	0.36	0	5.1753827e-06
1.3250029138072408e-09	0.99995244	-0.0033860607	0.0013252529	0.36	0	-1.4475357e-05
1.339609228613651e-09	0.9999522	-0.0034425831	0.0013177298	0.36	0	-4.758421e-06
1.3542154830975106e-09	0.9999522	-0.003425076	0.0012874193	0.36	0	1.4442793e-05
1.3688218938437414e-09	0.9999523	-0.0033791445	0.0012979986	0.36	0	5.089009e-06
1.3834280007921893e-09	0.99995214	-0.0034052776	0.0013217787	0.36	0	-1.440332e-05
1.398521312270778e-09	0.9999522	-0.0034533395	0.0012985999	0.36	0	-4.666133e-06
1.4131275622881403e-09	0.99995244	-0.0034155394	0.0012675538	0.36	0	1.4629186e-05
1.4277340117153375e-09	0.99995244	-0.0033573743	0.0012942128	0.36	0	5.000424e-06
1.4423401188523728e-09	0.9999522	-0.003389833	0.0013371685	0.36	0	-1.4593194e-05
1.4569465224118629e-09	0.999952	-0.0034555711	0.001321522	0.36	0	-5.3359754e-06
1.4720396691323318e-09	0.9999522	-0.0034347125	0.0012767542	0.36	0	1.4817921e-05
1.486646132344416e-09	0.99995244	-0.0033759738	0.0012839824	0.36	0	4.9096448e-06
1.50125226141085e-09	0.9999522	-0.0033928563	0.0013156474	0.36	0	-1.4785497e-05
1.5158586573324106e-09	0.9999522	-0.0034399715	0.0013062415	0.36	0	-5.2490777e-06
1.5304650815992536e-09	0.99995244	-0.0034147014	0.00128267	0.36	0	1.4746163e-05
1.5455582703117902e-09	0.99995244	-0.0033670464	0.0013044351	0.36	0	4.816594e-06
1.5601643844372652e-09	0.9999522	-0.0034047216	0.0013348025	0.36	0	-1.4980273e-05
1.5747707631527557e-09	0.999952	-0.003462615	0.0013075505	0.36	0	-5.160021e-06
1.5893771777172483e-09	0.9999522	-0.0034285635	0.0012649853	0.36	0	1.4944507e-05
1.6039832677177888e-09	0.9999526	-0.0033618417	0.0012824329	0.36	0	5.504489e-06
1.6190764491236241e-09	0.9999522	-0.0033838234	0.0013275628	0.36	0	-1.5177573e-05
1.633682816275597e-09	0.9999522	-0.003444683	0.0013204359	0.36	0	-5.068791e-06
1.6482892317401587e-09	0.9999522	-0.0034282054	0.001287554	0.36	0	1.5145477e-05
1.6628953482797382e-09	0.99995244	-0.0033799543	0.0012960907	0.36	0	5.4173124e-06
1.6775018063670499e-09	0.9999522	-0.003404749	0.0013194733	0.36	0	-1.5106058e-05
1.6925949181340363e-09	0.99995214	-0.0034513043	0.0012976662	0.36	0	-4.975169e-06
1.707201344877446e-09	0.99995244	-0.0034129992	0.001269029	0.36	0	1.5349206e-05
1.7218074639101733e-09	0.9999526	-0.0033559038	0.0012980085	0.36	0	5.327808e-06
1.7364138997380855e-09	0.9999522	-0.0033928666	0.0013402734	0.36	0	-1.5313495e-05
1.7510201432997308e-09	0.999952	-0.003461244	0.0013198025	0.36	0	-5.681394e-06
1.7661133997033551e-09	0.9999522	-0.003436406	0.0012731225	0.36	0	1.555571e-05
1.780719510621438e-09	0.99995244	-0.0033726469	0.0012812222	0.36	0	5.236089e-06
1.7953259544701756e-09	0.99995244	-0.0033892759	0.0013164429	0.36	0	-1.552382e-05
1.8099321899563555e-09	0.9999522	-0.0034398492	0.0013087532	0.36	0	-5.593977e-06
1.8245384274720378e-09	0.9999522	-0.0034158968	0.0012846059	0.36	0	1.5484484e-05
1.839631557889558e-09	0.99995244	-0.003369885	0.0013066118	0.36	0	5.141983e-06
1.8542380050742187e-09	0.9999522	-0.003408886	0.0013332412	0.36	0	-1.5737134e-05
1.868844258458729e-09	0.999952	-0.0034649882	0.0013021427	0.36	0	-5.5041855e-06
1.8834505054678912e-09	0.9999522	-0.0034244761	0.001260199	0.36	0	1.5701682e-05
1.8985436430608777e-09	0.9999526	-0.0033538674	0.0012858439	0.36	0	5.0453646e-06
