# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)
1e-12	0.90730405	0.42016456	0.009448199	0.3262708	0.15214257	0
1.5896749624376365e-11	0.90729403	0.420186	0.009462416	0.3262708	0.15214257	4.1475423e-06
3.093641977943994e-11	0.9073083	0.42015493	0.00947292	0.3262708	0.15214257	-1.1984484e-05
4.5332692389607474e-11	0.90732485	0.42012003	0.009441066	0.3262708	0.15214257	-4.133282e-06
6.020806107869616e-11	0.90730906	0.4201547	0.009406477	0.3262708	0.15214257	1.1974294e-05
7.462216791266195e-11	0.9072841	0.4202082	0.009427635	0.3262708	0.15214257	4.305009e-06
8.925824140969788e-11	0.9072898	0.4201948	0.009473461	0.3262708	0.15214257	-1.1860167e-05
1.0417705847419966e-10	0.9073141	0.42014226	0.009475731	0.3262708	0.15214257	-4.1395583e-06
1.1889570663720012e-10	0.9073137	0.42014363	0.009446226	0.3262708	0.15214257	1.2010938e-05
1.3345895986076924e-10	0.90729976	0.42017415	0.009442027	0.3262708	0.15214257	4.322489e-06
1.4841116305185403e-10	0.90730476	0.42016315	0.009452544	0.3262708	0.15214257	-1.210443e-05
1.632563433090058e-10	0.9073167	0.4201376	0.009435433	0.3262708	0.15214257	-3.8414732e-06
1.7750622746538563e-10	0.90730244	0.42016888	0.00942072	0.3262708	0.15214257	1.2009333e-05
1.9219434060678346e-10	0.9072838	0.42020833	0.009450071	0.3262708	0.15214257	4.470698e-06
2.073242868894905e-10	0.907297	0.4201788	0.009486735	0.3262708	0.15214257	-1.2240521e-05
2.2189826494723542e-10	0.9073221	0.420125	0.009469528	0.3262708	0.15214257	-4.1100493e-06
2.364296457133064e-10	0.9073171	0.4201367	0.0094277235	0.3262708	0.15214257	1.215395e-05
2.514247613227535e-10	0.9072952	0.42018414	0.009425841	0.3262708	0.15214257	3.9762854e-06
2.6588919008193075e-10	0.90729684	0.42018038	0.009449805	0.3262708	0.15214257	-1.2225625e-05
2.808247857553392e-10	0.9073109	0.42014986	0.009449521	0.3262708	0.15214257	-4.0079963e-06
2.952383070006666e-10	0.9073033	0.42016625	0.009439766	0.3262708	0.15214257	1.2246326e-05
3.1012125777835623e-10	0.90729	0.42019445	0.0094582625	0.3262708	0.15214257	4.176789e-06
3.249697761699668e-10	0.90730375	0.42016453	0.00947876	0.3262708	0.15214257	-1.2440843e-05
3.3929450996533033e-10	0.90732384	0.42012197	0.009450852	0.3262708	0.15214257	-4.508428e-06
3.5408708852003836e-10	0.9073125	0.42014742	0.009415018	0.3262708	0.15214257	1.2359247e-05
3.688577195756605e-10	0.9072888	0.42019823	0.009427808	0.3262708	0.15214257	4.326888e-06
3.836096548626379e-10	0.90729344	0.42018738	0.009463521	0.3262708	0.15214257	-1.24620565e-05
3.9834595121949715e-10	0.9073123	0.42014644	0.00946354	0.3262708	0.15214257	-4.242912e-06
4.1306832583292904e-10	0.9073083	0.42015523	0.009444191	0.3262708	0.15214257	1.25352835e-05
4.277788059703142e-10	0.9072952	0.42018363	0.009451844	0.3262708	0.15214257	4.2323045e-06
4.4247819144857266e-10	0.9073055	0.4201613	0.009464214	0.3262708	0.15214257	-1.2586735e-05
4.571687768295925e-10	0.90732074	0.42012906	0.0094404165	0.3262708	0.15214257	-4.279349e-06
4.718520864360926e-10	0.9073067	0.42016008	0.009415532	0.3262708	0.15214257	1.2622052e-05
4.865287827755861e-10	0.9072848	0.4202064	0.009440194	0.3262708	0.15214257	4.3672094e-06
5.01199333233511e-10	0.90729505	0.42018342	0.0094779115	0.3262708	0.15214257	-1.26448695e-05
5.15864682543203e-10	0.90731823	0.42013344	0.009467152	0.3262708	0.15214257	-4.488253e-06
