# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)
1e-12	0.9854921	0.1695147	0.0021585107	0.35453078	0.062513344	0
1.616578414885638e-11	0.9854883	0.16953725	0.00217348	0.35453078	0.062513344	3.8063451e-06
3.0992746198759374e-11	0.9854943	0.16950205	0.0021824331	0.35453078	0.062513344	-1.2006806e-05
4.522660458248768e-11	0.9855005	0.16946614	0.0021485055	0.35453078	0.062513344	-4.2675447e-06
5.993825160021273e-11	0.9854937	0.1695072	0.0021144585	0.35453078	0.062513344	1.1855777e-05
7.474465197244121e-11	0.98548305	0.1695679	0.0021424585	0.35453078	0.062513344	4.149429e-06
8.97473835384536e-11	0.9854871	0.1695437	0.0021922952	0.35453078	0.062513344	-1.2074674e-05
1.0397521372411922e-10	0.9854974	0.1694837	0.0021890104	0.35453078	0.062513344	-4.396773e-06
1.1905131017463945e-10	0.9854971	0.16948645	0.0021512613	0.35453078	0.062513344	1.2078198e-05
1.3345558631415603e-10	0.9854903	0.16952623	0.0021445476	0.35453078	0.062513344	4.3268e-06
1.4824478091583826e-10	0.9854914	0.16951923	0.0021577252	0.35453078	0.062513344	-1.2030909e-05
1.6293191823245997e-10	0.9854955	0.16949491	0.002147469	0.35453078	0.062513344	-4.2612282e-06
1.7753155314949598e-10	0.9854905	0.1695246	0.0021384195	0.35453078	0.062513344	1.2021338e-05
1.9256087569282273e-10	0.9854846	0.16955887	0.00217131	0.35453078	0.062513344	3.996799e-06
2.0702837330629908e-10	0.9854916	0.16951782	0.0022002705	0.35453078	0.062513344	-1.21097255e-05
2.2194388494690413e-10	0.98550147	0.16946067	0.0021686673	0.35453078	0.062513344	-4.0505365e-06
2.36320335524478e-10	0.98549694	0.1694872	0.002121712	0.35453078	0.062513344	1.2102202e-05
2.511548362137027e-10	0.985486	0.16955148	0.0021302844	0.35453078	0.062513344	4.3292794e-06
2.659576807437841e-10	0.9854871	0.1695441	0.002171384	0.35453078	0.062513344	-1.2256878e-05
2.8073289356674875e-10	0.9854949	0.16949806	0.0021755856	0.35453078	0.062513344	-4.128998e-06
2.9548607747630637e-10	0.9854937	0.16950576	0.0021570686	0.35453078	0.062513344	1.2358912e-05
3.1021780976747984e-10	0.9854889	0.16953404	0.0021649778	0.35453078	0.062513344	4.0492264e-06
3.2493337846881455e-10	0.9854935	0.16950686	0.0021752017	0.35453078	0.062513344	-1.2425149e-05
3.396332854641403e-10	0.9854992	0.16947365	0.002146433	0.35453078	0.062513344	-4.060951e-06
3.5432207915503147e-10	0.9854923	0.16951421	0.002120334	0.35453078	0.062513344	1.2466282e-05
3.6899868564293027e-10	0.98548317	0.16956758	0.0021518092	0.35453078	0.062513344	4.13955e-06
3.8366623157589894e-10	0.9854884	0.16953674	0.0021963923	0.35453078	0.062513344	-1.2487761e-05
3.983254386964037e-10	0.9854989	0.16947427	0.002183326	0.35453078	0.062513344	-4.270281e-06
4.129783287552279e-10	0.9854971	0.16948561	0.0021410454	0.35453078	0.062513344	1.2493886e-05
