# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)
1e-12	0.86535794	0.50072557	0.013024491	0.31176916	0.18	0
1.598738711540373e-11	0.8653458	0.5007462	0.013038729	0.31176916	0.18	4.0329646e-06
3.0910986660660806e-11	0.86536264	0.50071687	0.013049223	0.31176916	0.18	-1.19742635e-05
4.519305578108151e-11	0.86538243	0.5006833	0.013019073	0.31176916	0.18	-4.3098894e-06
5.994717772811762e-11	0.86536556	0.5007135	0.012984416	0.31176916	0.18	1.1859856e-05
7.47853198042658e-11	0.8653356	0.50076485	0.013004375	0.31176916	0.18	4.097613e-06
8.929162215620846e-11	0.8653418	0.5007528	0.01304647	0.31176916	0.18	-1.1875841e-05
1.0408173154543567e-10	0.8653682	0.50070715	0.013048731	0.31176916	0.18	-4.261284e-06
1.1867497011960194e-10	0.8653675	0.50070906	0.013024376	0.31176916	0.18	1.1909841e-05
1.3362674902607595e-10	0.86535144	0.5007367	0.013024236	0.31176916	0.18	4.107366e-06
1.4844748651138004e-10	0.86536103	0.50071996	0.013032273	0.31176916	0.18	-1.2119974e-05
1.631643874626059e-10	0.86537534	0.500696	0.01300987	0.31176916	0.18	-3.960944e-06
1.777967447226255e-10	0.86535716	0.5007279	0.01299136	0.31176916	0.18	1.2141757e-05
1.9235760129931877e-10	0.86533266	0.5007694	0.013020691	0.31176916	0.18	4.260425e-06
2.0735747544209135e-10	0.8653475	0.50074244	0.013061872	0.31176916	0.18	-1.2254432e-05
2.2180643557153962e-10	0.865377	0.5006918	0.013049546	0.31176916	0.18	-4.229544e-06
2.367107879742583e-10	0.8653729	0.5007002	0.013009357	0.31176916	0.18	1.2279424e-05
2.510828175231983e-10	0.86535054	0.50073904	0.013005445	0.31176916	0.18	4.422861e-06
2.6591706706431246e-10	0.86535245	0.5007351	0.013024552	0.31176916	0.18	-1.22384245e-05
2.8072416882566353e-10	0.8653676	0.5007091	0.013019742	0.31176916	0.18	-4.140466e-06
2.9550838313435755e-10	0.8653557	0.50073004	0.013008682	0.31176916	0.18	1.2368624e-05
3.102730832253476e-10	0.8653375	0.50076056	0.013033513	0.31176916	0.18	3.976004e-06
3.2502036494906114e-10	0.86535484	0.5007296	0.013060132	0.31176916	0.18	-1.2462345e-05
3.392612832450563e-10	0.86538106	0.5006852	0.013035958	0.31176916	0.18	-4.5520055e-06
3.5398200000181765e-10	0.8653715	0.5007029	0.012996547	0.31176916	0.18	1.23088585e-05
3.686918474871298e-10	0.865344	0.5007506	0.013000805	0.31176916	0.18	4.546056e-06
3.8339282699557956e-10	0.86534643	0.50074565	0.013031272	0.31176916	0.18	-1.23593445e-05
3.980849628514147e-10	0.8653655	0.5007122	0.01303356	0.31176916	0.18	-4.589565e-06
4.1277009232093366e-10	0.86535984	0.50072217	0.013020442	0.31176916	0.18	1.2393686e-05
4.2793880061148174e-10	0.8653451	0.5007472	0.013032248	0.31176916	0.18	4.017082e-06
4.426134243722779e-10	0.86535937	0.50072247	0.013046292	0.31176916	0.18	-1.264705e-05
4.572835318120408e-10	0.8653799	0.5006878	0.013021166	0.31176916	0.18	-4.1245808e-06
4.719493658514425e-10	0.86536455	0.5007152	0.012991139	0.31176916	0.18	1.2666421e-05
4.866118863796602e-10	0.8653374	0.50076157	0.013009338	0.31176916	0.18	4.2549336e-06
5.012711402510298e-10	0.8653456	0.50074625	0.013045751	0.31176916	0.18	-1.267856e-05
5.159282906675785e-10	0.8653703	0.5007034	0.0130419545	0.31176916	0.18	-4.402228e-06
5.305825183620582e-10	0.8653655	0.5007122	0.013017488	0.31176916	0.18	1.2684638e-05
5.452358249363506e-10	0.8653475	0.5007435	0.013022799	0.31176916	0.18	4.5623237e-06
5.598879753574904e-10	0.86535764	0.5007259	0.013037673	0.31176916	0.18	-1.2686356e-05
5.745386269466053e-10	0.8653761	0.5006946	0.013018225	0.31176916	0.18	-4.7296176e-06
5.896757540241341e-10	0.86535925	0.5007242	0.012996271	0.31176916	0.18	1.2918158e-05
6.043234505720048e-10	0.86533535	0.50076437	0.01302111	0.31176916	0.18	4.2387605e-06
6.18970593935402e-10	0.865349	0.5007399	0.013055078	0.31176916	0.18	-1.2920182e-05
6.336167875915966e-10	0.8653764	0.5006929	0.013041061	0.31176916	0.18	-4.4206536e-06
6.482629950914465e-10	0.8653691	0.5007066	0.013007148	0.31176916	0.18	1.2919019e-05
6.629074207888349e-10	0.8653458	0.5007471	0.013012066	0.31176916	0.18	4.607126e-06
6.775521427489534e-10	0.86535263	0.5007347	0.013035087	0.31176916	0.18	-1.2914099e-05
6.92196044995642e-10	0.8653722	0.500701	0.013024649	0.31176916	0.18	-4.7972003e-06
7.073279066784907e-10	0.86535907	0.50072396	0.013003095	0.31176916	0.18	1.3144543e-05
7.219711758051266e-10	0.86533725	0.5007609	0.01302525	0.31176916	0.18	4.3115106e-06
7.366141882841024e-10	0.8653519	0.50073487	0.013054882	0.31176916	0.18	-1.3143632e-05
7.512576119044961e-10	0.8653789	0.500689	0.013036551	0.31176916	0.18	-4.5065835e-06
7.659011151815417e-10	0.8653695	0.5007066	0.013000798	0.31176916	0.18	1.314066e-05
7.805436250239812e-10	0.8653433	0.50075155	0.013008085	0.31176916	0.18	4.703142e-06
7.951854570499639e-10	0.86534923	0.5007404	0.013036713	0.31176916	0.18	-1.3133984e-05
8.098277867068871e-10	0.8653705	0.5007035	0.01303075	0.31176916	0.18	-4.903167e-06
8.249574064525149e-10	0.8653614	0.5007197	0.013008055	0.31176916	0.18	1.33684725e-05
8.39599947958264e-10	0.8653403	0.5007558	0.0130242035	0.31176916	0.18	4.4138947e-06
8.542414306461412e-10	0.8653535	0.50073254	0.013049927	0.31176916	0.18	-1.3367104e-05
8.688823844838417e-10	0.86537856	0.50069	0.013031836	0.31176916	0.18	-4.618476e-06
8.835240124383862e-10	0.8653676	0.50070983	0.012999196	0.31176916	0.18	1.3362493e-05
8.981655456007592e-10	0.86534137	0.5007547	0.013009902	0.31176916	0.18	4.8229563e-06
9.128071778839177e-10	0.86534834	0.50074154	0.013039914	0.31176916	0.18	-1.3355594e-05
9.279366289414076e-10	0.8653713	0.5007018	0.013034008	0.31176916	0.18	-4.326335e-06
9.425780378489617e-10	0.86536276	0.50071734	0.013011375	0.31176916	0.18	1.3596193e-05
9.572183022582364e-10	0.8653427	0.50075203	0.01302435	0.31176916	0.18	4.535073e-06
9.718594346889053e-10	0.86535543	0.5007297	0.013046198	0.31176916	0.18	-1.359399e-05
9.86500064955151e-10	0.8653783	0.5006904	0.013026576	0.31176916	0.18	-4.744682e-06
1.001139883033241e-09	0.8653651	0.50071394	0.012996543	0.31176916	0.18	1.3588626e-05
1.0157806337465929e-09	0.8653384	0.5007595	0.013012416	0.31176916	0.18	4.9569994e-06
1.030420459704384e-09	0.8653476	0.50074255	0.013045586	0.31176916	0.18	-1.3580598e-05
1.0455493627538927e-09	0.8653723	0.5007001	0.013036427	0.31176916	0.18	-4.4560243e-06
1.0601892612538617e-09	0.86536425	0.5007149	0.013012019	0.31176916	0.18	1.38275345e-05
1.0748297304215527e-09	0.865344	0.5007499	0.013023281	0.31176916	0.18	4.6708774e-06
1.0894697491638365e-09	0.8653563	0.5007281	0.013043327	0.31176916	0.18	-1.3825144e-05
1.1041102637518945e-09	0.865378	0.5006908	0.013022271	0.31176916	0.18	-4.886532e-06
1.1187508192882725e-09	0.86536264	0.50071776	0.012993913	0.31176916	0.18	1.3820314e-05
1.1333916286098777e-09	0.86533517	0.5007649	0.013015044	0.31176916	0.18	5.1019824e-06
1.148520601625956e-09	0.8653484	0.50074106	0.013052718	0.31176916	0.18	-1.4066884e-05
1.1631613853762137e-09	0.8653764	0.5006935	0.013040116	0.31176916	0.18	-4.5915426e-06
1.1778026632922848e-09	0.8653682	0.5007085	0.0130081	0.31176916	0.18	1.406839e-05
1.1924432887134794e-09	0.8653446	0.50074905	0.013015493	0.31176916	0.18	4.808486e-06
1.2070833935756734e-09	0.86535376	0.5007323	0.013038032	0.31176916	0.18	-1.4066494e-05
1.2217235505592455e-09	0.86537474	0.5006963	0.013022588	0.31176916	0.18	-5.028992e-06
1.2363641217050422e-09	0.86536056	0.5007214	0.012998746	0.31176916	0.18	1.4061812e-05
1.2510048388762966e-09	0.8653353	0.50076485	0.013021497	0.31176916	0.18	5.24903e-06
1.266132987645128e-09	0.86535084	0.5007371	0.013059249	0.31176916	0.18	-1.4315705e-05
1.2807738639273e-09	0.8653811	0.50068533	0.013040159	0.31176916	0.18	-4.731433e-06
1.295414631600233e-09	0.8653713	0.50070316	0.0129999705	0.31176916	0.18	1.4317462e-05
1.3100559410973033e-09	0.8653429	0.5007519	0.013005337	0.31176916	0.18	4.952655e-06
1.3246970366939645e-09	0.8653484	0.5007415	0.01303459	0.31176916	0.18	-1.431687e-05
1.339338068534092e-09	0.8653703	0.50070393	0.013029129	0.31176916	0.18	-5.174952e-06
1.3539785869050175e-09	0.8653604	0.5007217	0.013010132	0.31176916	0.18	1.4313042e-05
1.3691084556154698e-09	0.86533856	0.500759	0.0130291395	0.31176916	0.18	4.6454093e-06
1.3837486809132324e-09	0.86535525	0.50072956	0.013055522	0.31176916	0.18	-1.4575602e-05
1.3983888853525535e-09	0.86538285	0.5006824	0.013030896	0.31176916	0.18	-4.872702e-06
1.4130296733819133e-09	0.865369	0.50070715	0.01299153	0.31176916	0.18	1.4577616e-05
1.4276701923373356e-09	0.86533797	0.5007604	0.0130037945	0.31176916	0.18	5.099862e-06
1.4423105372982028e-09	0.8653446	0.500748	0.01304125	0.31176916	0.18	-1.4576719e-05
1.4569505413600025e-09	0.8653703	0.5007038	0.013039171	0.31176916	0.18	-5.3297226e-06
1.4715905597354659e-09	0.8653642	0.5007151	0.013016638	0.31176916	0.18	1.4572459e-05
1.4867189440969402e-09	0.8653446	0.5007488	0.013026349	0.31176916	0.18	4.7944304e-06
1.501359445056617e-09	0.8653582	0.5007248	0.013043665	0.31176916	0.18	-1.4842945e-05
1.5159989169515713e-09	0.8653801	0.5006871	0.013018805	0.31176916	0.18	-5.0273843e-06
1.530638970334961e-09	0.86536247	0.5007186	0.012989061	0.31176916	0.18	1.4844697e-05
1.5452794996732592e-09	0.86533254	0.50076944	0.013013707	0.31176916	0.18	5.260666e-06
1.559919637568999e-09	0.8653452	0.50074667	0.0130556645	0.31176916	0.18	-1.4844148e-05
1.5745599162394653e-09	0.86537665	0.50069284	0.01304593	0.31176916	0.18	-5.495482e-06
1.5896886902159075e-09	0.8653695	0.500706	0.013011347	0.31176916	0.18	1.5114412e-05
1.6043298786047515e-09	0.8653458	0.5007466	0.013015559	0.31176916	0.18	4.9486125e-06
1.6189708540698902e-09	0.86535525	0.5007299	0.013034861	0.31176916	0.18	-1.5121124e-05
1.633611890912992e-09	0.8653751	0.5006958	0.01301754	0.31176916	0.18	-5.1834495e-06
1.6482528139545508e-09	0.86535823	0.5007257	0.012996499	0.31176916	0.18	1.5124874e-05
1.6628927958807223e-09	0.8653321	0.50077	0.013025703	0.31176916	0.18	5.421434e-06
1.6775331854393625e-09	0.8653498	0.5007386	0.013063724	0.31176916	0.18	-1.5124797e-05
1.6926609449346827e-09	0.86538345	0.5006811	0.013039545	0.31176916	0.18	-4.866744e-06
1.707301118807382e-09	0.8653717	0.5007026	0.012996336	0.31176916	0.18	1.5403495e-05
1.7219408837240851e-09	0.865341	0.5007552	0.013004113	0.31176916	0.18	5.108892e-06
1.7365809287282144e-09	0.8653478	0.50074255	0.013036464	0.31176916	0.18	-1.5409703e-05
1.7512207863610512e-09	0.8653717	0.5007017	0.01302994	0.31176916	0.18	-5.3525523e-06
