# Frequency = 1.0152402574283518E10
# xIndex	yIndex	zIndex	AbsFmx	AbsFmy	AbsFmz	ArgFmx	ArgFmy	ArgFmz
3	25	0	0.3066857233191899	1.1517458916128258	1.1420524771419225	-2.8266075713845824	0.301973692735452	1.7641967113492258
3	26	0	0.2944111414049661	1.1536843088448132	1.1575043798802593	-2.831012939330167	0.29673108597071435	1.7653074455036126
3	27	0	0.2817115235175815	1.1577627741081729	1.1671852561473253	-2.8357170456340324	0.2912895063163967	1.765987940718788
3	28	0	0.27202809062873595	1.1658865533206828	1.167291247201554	-2.839608875701318	0.286984286768852	1.7668358434337044
4	8	0	2.3609582899035235	9.209696403759438	10.182054120066757	-2.260616021991055	0.8633802784073463	2.405523173377838
4	9	0	2.335922311999492	9.289787438339012	10.235394463887237	-2.2604452193182967	0.8632711550580506	2.4055395768472714
4	16	0	1.5534733092631388	6.188934133134844	6.547328611372688	-2.3923952655770404	0.7317093359716564	2.264486141723145
4	17	0	1.5111826624536855	6.220846958001055	6.565791772049093	-2.392571059063669	0.7311388669058508	2.2645832636692007
4	18	0	1.4650655391887006	6.256956814698791	6.58007413326527	-2.3928485513294624	0.7304202059974947	2.2647330157402874
4	24	0	0.34659452888337217	1.2332234126543844	1.1772485074856944	-2.817646655934945	0.3117920148612335	1.7625953541189727
4	25	0	0.3214250741165151	1.1987315159399274	1.1756518044820998	-2.823570086760423	0.3049368625616448	1.7640010879498025
4	26	0	0.3059376105048038	1.183188661815591	1.179797446118827	-2.829258079246866	0.29856635985501	1.7645119941463174
4	27	0	0.29650949730165693	1.1758859991697315	1.1837823625650203	-2.836344670358989	0.2909782089772714	1.7661740631577185
4	28	0	0.2914488356286269	1.1818176431667897	1.1928653372023703	-2.8406981845428283	0.28627856273874996	1.76632347083965
4	29	0	0.29833058438073257	1.20793059307946	1.2024138330200511	-2.8448918251404103	0.28228574269755424	1.7671090317629035
5	7	0	2.673266979320662	9.82994839024663	10.851271681133868	-2.2604285987713126	0.8634691743291205	2.405445733552484
5	8	0	2.573572409086715	9.740150527894814	10.722081495078887	-2.260478599694508	0.8632624780434525	2.40545302539758
