# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)
1e-12	0.9670866	0.25426665	0.0038541995	0.3477333	0.09317486	0
1.609712507841682e-11	0.9670806	0.2542892	0.0038693752	0.3477333	0.09317486	3.893733e-06
3.0940122913804625e-11	0.9670896	0.25425443	0.0038786153	0.3477333	0.09317486	-1.1985966e-05
4.5182848606606875e-11	0.96709925	0.25421843	0.0038452689	0.3477333	0.09317486	-4.322762e-06
5.991721934707399e-11	0.9670892	0.25425747	0.0038100246	0.3477333	0.09317486	1.1846124e-05
7.4733849368845e-11	0.96707314	0.25431785	0.0038368695	0.3477333	0.09317486	4.1631797e-06
8.974168281750728e-11	0.96707886	0.2542953	0.0038863467	0.3477333	0.09317486	-1.2072362e-05
1.039698295514855e-10	0.9670938	0.25423828	0.003884205	0.3477333	0.09317486	-4.4036065e-06
1.190599398286925e-10	0.9670932	0.254241	0.0038486284	0.3477333	0.09317486	1.2081831e-05
1.3347710943500239e-10	0.9670837	0.25427774	0.0038430376	0.3477333	0.09317486	4.2992856e-06
1.482753807715137e-10	0.9670861	0.25426826	0.0038547248	0.3477333	0.09317486	-1.2044716e-05
1.6296585463924115e-10	0.9670924	0.25424433	0.003841168	0.3477333	0.09317486	-4.2175525e-06
1.7757707122209147e-10	0.96708417	0.25427592	0.0038303726	0.3477333	0.09317486	1.2042695e-05
1.926209412923305e-10	0.96707433	0.25431243	0.0038660348	0.3477333	0.09317486	3.918531e-06
2.0710098553021384e-10	0.96708477	0.25427282	0.0038976315	0.3477333	0.09317486	-1.2142945e-05
2.2202426987466404e-10	0.96710026	0.25421432	0.0038666474	0.3477333	0.09317486	-3.945436e-06
2.36409678248244e-10	0.9670943	0.25423726	0.0038198994	0.3477333	0.09317486	1.2144621e-05
2.5125860040796066e-10	0.967078	0.25429955	0.003825943	0.3477333	0.09317486	4.1939948e-06
2.660751190916602e-10	0.9670796	0.25429288	0.0038647032	0.3477333	0.09317486	-1.2308941e-05
2.8086075630371833e-10	0.9670907	0.25425053	0.0038672301	0.3477333	0.09317486	-3.9605243e-06
2.951305026066321e-10	0.9670884	0.25425962	0.0038523192	0.3477333	0.09317486	1.219466e-05
3.0987661834065305e-10	0.96708065	0.25428838	0.0038617547	0.3477333	0.09317486	4.497966e-06
3.2460702363822606e-10	0.9670879	0.25426123	0.0038751892	0.3477333	0.09317486	-1.2276075e-05
3.3932102751534043e-10	0.96709794	0.2542232	0.0038466423	0.3477333	0.09317486	-4.473609e-06
3.5401938278947064e-10	0.9670886	0.25425908	0.0038147843	0.3477333	0.09317486	1.2326961e-05
3.6870936629170945e-10	0.96707356	0.254316	0.0038405405	0.3477333	0.09317486	4.522975e-06
3.8339231790577463e-10	0.96707916	0.2542936	0.0038869118	0.3477333	0.09317486	-1.2359096e-05
3.980662654092298e-10	0.967095	0.2542338	0.003881091	0.3477333	0.09317486	-4.614265e-06
4.132196707361459e-10	0.967093	0.2542417	0.003840503	0.3477333	0.09317486	1.2602288e-05
